folderCode,rootSet,rootSelection,setFile,nodeId,nodeType,lineCount,payloadPreview,detectedPrefixes,mappedCategory,mappedSubcategory,mappedSubmenu,chosenPrefix,notes
Gensets,,,NetLicPath.set,NetLicPath,set_node,0,,Acknowledgements | ActiveTab | Aknowledgements | Configs | Date | Disclaimer | DxfActiveTab | Empty | EmptyApps | GapFile | License | NetLicPath | Parameters | ParametersImperial | ParametersMetric | ParametersProcessAreaSpansI | ParametersProcessAreaSpansM | Pipedata | Rev | SearchFile | Sectors | SizeAndLocation | SystemInfo | TabList | TabListIndex | Username | Zeataline,,,,,
Gensets,,,Rev.set,04,set_node,1,,Acknowledgements | ActiveTab | Aknowledgements | Configs | Date | Disclaimer | DxfActiveTab | Empty | EmptyApps | GapFile | License | NetLicPath | Parameters | ParametersImperial | ParametersMetric | ParametersProcessAreaSpansI | ParametersProcessAreaSpansM | Pipedata | Rev | SearchFile | Sectors | SizeAndLocation | SystemInfo | TabList | TabListIndex | Username | Zeataline,,,,,
Gensets,,,Sectors.set,Blnu,set_node,88,4 | Flan | 7 | Flaa | 2,Acknowledgements | ActiveTab | Aknowledgements | Configs | Date | Disclaimer | DxfActiveTab | Empty | EmptyApps | GapFile | License | NetLicPath | Parameters | ParametersImperial | ParametersMetric | ParametersProcessAreaSpansI | ParametersProcessAreaSpansM | Pipedata | Rev | SearchFile | Sectors | SizeAndLocation | SystemInfo | TabList | TabListIndex | Username | Zeataline,,,,,
Gensets,,,SizeAndLocation.set,180,set_node,4,400 | 1120 | 840,Acknowledgements | ActiveTab | Aknowledgements | Configs | Date | Disclaimer | DxfActiveTab | Empty | EmptyApps | GapFile | License | NetLicPath | Parameters | ParametersImperial | ParametersMetric | ParametersProcessAreaSpansI | ParametersProcessAreaSpansM | Pipedata | Rev | SearchFile | Sectors | SizeAndLocation | SystemInfo | TabList | TabListIndex | Username | Zeataline,,,,,
Gensets,,,TabList.set,Ftbw1,set_node,10,Flan1 | Flan2 | Flan3 | Flan4 | Flan5,Acknowledgements | ActiveTab | Aknowledgements | Configs | Date | Disclaimer | DxfActiveTab | Empty | EmptyApps | GapFile | License | NetLicPath | Parameters | ParametersImperial | ParametersMetric | ParametersProcessAreaSpansI | ParametersProcessAreaSpansM | Pipedata | Rev | SearchFile | Sectors | SizeAndLocation | SystemInfo | TabList | TabListIndex | Username | Zeataline,,,,,
Gensets,,,TabListIndex.set,10,set_node,1,,Acknowledgements | ActiveTab | Aknowledgements | Configs | Date | Disclaimer | DxfActiveTab | Empty | EmptyApps | GapFile | License | NetLicPath | Parameters | ParametersImperial | ParametersMetric | ParametersProcessAreaSpansI | ParametersProcessAreaSpansM | Pipedata | Rev | SearchFile | Sectors | SizeAndLocation | SystemInfo | TabList | TabListIndex | Username | Zeataline,,,,,
Gensets,,,Username.set,johnb,set_node,1,,Acknowledgements | ActiveTab | Aknowledgements | Configs | Date | Disclaimer | DxfActiveTab | Empty | EmptyApps | GapFile | License | NetLicPath | Parameters | ParametersImperial | ParametersMetric | ParametersProcessAreaSpansI | ParametersProcessAreaSpansM | Pipedata | Rev | SearchFile | Sectors | SizeAndLocation | SystemInfo | TabList | TabListIndex | Username | Zeataline,,,,,
Gflt,Gflt.set,Gflt1,Gflt1.set,Gflt1,set_node,28,16 | 300# | RF | STD | 6,Gflt,,,,,
Gflt,Gflt.set,Gflt1,Gflt2.set,Gflt2,set_node,28,16 | 300# | RF | STD | 6,Gflt,,,,,
Gflt,Gflt.set,Gflt1,Gflt3.set,Gflt3,set_node,28,16 | 300# | RF | STD | 6,Gflt,,,,,
Gpas,Gpas.set,Gpas1,Gpas1.set,Gpas1,set_node,28,16 | 150# | RF | STD | 6,Gpas | gpas,,,,,
Gpas,Gpas.set,Gpas1,Gpas2.set,Gpas2,set_node,28,16 | 150# | RF | STD | 6,Gpas | gpas,,,,,
Gpas,Gpas.set,Gpas1,Gpas3.set,Gpas3,set_node,28,16 | 150# | RF | STD | 6,Gpas | gpas,,,,,
Gpas,Gpas.set,Gpas1,Gpas4.set,Gpas4,set_node,28,16 | 150# | RF | STD | 6,Gpas | gpas,,,,,
Grtj,Grtj.set,Grtj1,Grtj1.set,Grtj1,set_node,28,16 | 300# | RF | STD | 6,Grtj,,,,,
Grtj,Grtj.set,Grtj1,Grtj2.set,Grtj2,set_node,28,16 | 300# | RF | STD | 6,Grtj,,,,,
Grtj,Grtj.set,Grtj1,Grtj3.set,Grtj3,set_node,28,16 | 300# | RF | STD | 6,Grtj,,,,,
Gspr,Gspr.set,Gspr1,Gspr1.set,Gspr1,set_node,28,16 | 300# | RF | STD | 6,Gspr,,,,,
Gspr,Gspr.set,Gspr1,Gspr2.set,Gspr2,set_node,28,16 | 300# | RF | STD | 6,Gspr,,,,,
Gspr,Gspr.set,Gspr1,Gspr3.set,Gspr3,set_node,28,16 | 300# | RF | STD | 6,Gspr,,,,,
Nuts,Nuts.set,Nuts1,Nuts1.set,Nuts1,set_node,28,16 | 300# | RF | STD | 6,Nuts,,,,,
Nuts,Nuts.set,Nuts1,Nuts2.set,Nuts2,set_node,28,16 | 300# | RF | STD | 6,Nuts,,,,,
Orif,Orif.set,Orif1,Orif1.set,Orif1,set_node,28,8 | 300# | RF | STD | 4,Orif | orif,,,,,
Orif,Orif.set,Orif1,Orif2.set,Orif2,set_node,28,8 | 300# | RF | STD | 4,Orif | orif,,,,,
Orif,Orif.set,Orif1,Orif3.set,Orif3,set_node,28,8 | 300# | RF | STD | 4,Orif | orif,,,,,
Pipe,Pipe.set,Pipe1,Pipe1.set,Pipe1,set_node,28,16 | 300# | RF | STD | 6,Pipe | PIPE | pipe | pipestd | PIPEXS | PIPEXXS,,,,,
Piwt,Piwt.set,Piwt1,Piwt1.set,Piwt1,set_node,28,16 | 300# | RF | STD | 6,B | ConverterList | Piwt | PiwtPipeTable | WallThicknessConverter,,,,,
Psiz,Psiz.set,Psiz1,Psiz1.set,Psiz1,set_node,28,18 | 150# | RF | STD | 6,Psiz | PsizCombo,,,,,
Psiz,Psiz.set,Psiz1,PsizCombo3.set,"10,Acetaldehyde, 20deg C (68deg F),0.295,0.788",set_node,25,"10,Acetic acid, 20deg C (68deg F),1.232,1.048 | 10,Acetone, 20deg C (68deg F),0.41,0.79 | 10,Ammonia, 20deg C (68deg F),0.265,0.829 | 10,Benzene, 20deg C (68deg F),0.741,0.879 | 10,Bromine, 20deg C (68deg F),0.34,3.12",Psiz | PsizCombo,,,,,
Psiz,Psiz.set,Psiz1,PsizCombo4.set,'Stus'''''''''''''''''''''''''''''',set_node,117,"MainSize = 16 | ASMEClass$ = ""300#"" | Face$ = ""RF"" | Sch$ = ""STD"" | SmallSize = 6",Psiz | PsizCombo,,,,,
Ptem,,,,,folder_only,,,Group | new | Ptem,,,,,
Pwal,Pwal.set,Pwal1,Pwal1.set,Pwal1,set_node,28,18 | 150# | RF | STD | 6,Carbon | Pwal | Stainless,,,,,
Span,Span.set,Span1,Span1.set,Span1,set_node,28,16 | 150# | RF | STD | 6,Span | span,,,,,
Span,Span.set,Span1,Span2.set,Span2,set_node,28,16 | 150# | RF | STD | 6,Span | span,,,,,
Srra,SrrA.set,Srra1,SrrA1.set,Srra1,set_node,28,16 | 150# | RF | STD | 6,SrrA | Srra,,,,,
Srra,SrrA.set,Srra1,SrrA2.set,Srra2,set_node,28,16 | 150# | RF | STD | 6,SrrA | Srra,,,,,
Srra,SrrA.set,Srra1,SrrA3.set,Srra3,set_node,28,16 | 150# | RF | STD | 6,SrrA | Srra,,,,,
Srra,SrrA.set,Srra1,SrrA4.set,Srra4,set_node,28,16 | 150# | RF | STD | 6,SrrA | Srra,,,,,
Srrb,Srrb.set,Srrb1,Srrb1.set,Srrb1,set_node,28,16 | 150# | RF | STD | 6,Srrb,,,,,
Srrb,Srrb.set,Srrb1,Srrb2.set,Srrb2,set_node,28,16 | 150# | RF | STD | 6,Srrb,,,,,
Srrb,Srrb.set,Srrb1,Srrb3.set,Srrb3,set_node,28,16 | 150# | RF | STD | 6,Srrb,,,,,
Srrb,Srrb.set,Srrb1,Srrb4.set,Srrb4,set_node,13,16 | 150# | RF | STD | 6,Srrb,,,,,
Srrc,Srrc.set,Srrc1,Srrc1.set,Srrc1,set_node,28,16 | 150# | RF | STD | 6,Srrc,,,,,
Srrd,Srrd.set,Srrd1,Srrd1.set,Srrd1,set_node,28,16 | 150# | RF | STD | 6,Srrd,,,,,
Srre,Srre.set,Srre1,Srre1.set,Srre1,set_node,28,16 | 150# | RF | STD | 6,Srre,,,,,
Vlbw,Vlbw.set,Vlbw1,Vlbw1.set,Vlbw1,set_node,28,16 | 300# | RF | STD | 6,Vlbw | vlbw,,,,,
Vlbw,Vlbw.set,Vlbw1,Vlbw2.set,Vlbw2,set_node,28,16 | 300# | RF | STD | 6,Vlbw | vlbw,,,,,
Vlbw,Vlbw.set,Vlbw1,Vlbw3.set,Vlbw3,set_node,28,16 | 300# | RF | STD | 6,Vlbw | vlbw,,,,,
Vlbw,Vlbw.set,Vlbw1,Vlbw4.set,Vlbw4,set_node,28,16 | 300# | RF | STD | 6,Vlbw | vlbw,,,,,
Vlfl,Vlfl.set,Vlfl1,Vlfl1.set,Vlfl1,set_node,28,16 | 300# | RF | STD | 6,PSV | vlbw | vlfl | Vlfl | VLFL | VLV | Vlv,,,,,
Vlfl,Vlfl.set,Vlfl1,Vlfl2.set,Vlfl2,set_node,28,16 | 300# | RF | STD | 6,PSV | vlbw | vlfl | Vlfl | VLFL | VLV | Vlv,,,,,
Vlfl,Vlfl.set,Vlfl1,Vlfl3.set,Vlfl3,set_node,28,16 | 300# | RF | STD | 6,PSV | vlbw | vlfl | Vlfl | VLFL | VLV | Vlv,,,,,
Vlfl,Vlfl.set,Vlfl1,Vlfl4.set,Vlfl4,set_node,28,16 | 300# | RF | STD | 6,PSV | vlbw | vlfl | Vlfl | VLFL | VLV | Vlv,,,,,
Vlfl,Vlfl.set,Vlfl1,Vlfl5.set,Vlfl5,set_node,28,16 | 300# | RF | STD | 6,PSV | vlbw | vlfl | Vlfl | VLFL | VLV | Vlv,,,,,
Vlfl,Vlfl.set,Vlfl1,Vlfl6.set,Vlfl6,set_node,28,16 | 300# | RF | STD | 6,PSV | vlbw | vlfl | Vlfl | VLFL | VLV | Vlv,,,,,
Vlfl,Vlfl.set,Vlfl1,Vlfl7.set,Vlfl7,set_node,28,16 | 300# | RF | STD | 6,PSV | vlbw | vlfl | Vlfl | VLFL | VLV | Vlv,,,,,
Vlfl,Vlfl.set,Vlfl1,Vlfl8.set,Vlfl8,set_node,28,16 | 300# | RF | STD | 6,PSV | vlbw | vlfl | Vlfl | VLFL | VLV | Vlv,,,,,
Vlsc,Vlsc.set,Vlsc1,Vlsc1.set,Vlsc1,set_node,28,16 | 300# | RF | STD | 6,Vlsc | vlsc,,,,,
Vlsc,Vlsc.set,Vlsc1,Vlsc2.set,Vlsc2,set_node,28,16 | 300# | RF | STD | 6,Vlsc | vlsc,,,,,
Vlsc,Vlsc.set,Vlsc1,Vlsc3.set,Vlsc3,set_node,28,16 | 300# | RF | STD | 6,Vlsc | vlsc,,,,,
Vlsc,Vlsc.set,Vlsc1,Vlsc4.set,Vlsc4,set_node,28,16 | 300# | RF | STD | 6,Vlsc | vlsc,,,,,
Vlsc,Vlsc.set,Vlsc1,Vlsc5.set,Vlsc5,set_node,28,16 | 300# | RF | STD | 6,Vlsc | vlsc,,,,,
Vlsw,Vlsw.set,Vlsw1,Vlsw1.set,Vlsw1,set_node,28,16 | 300# | RF | STD | 6,Vlsw | vlsw,,,,,
Vlsw,Vlsw.set,Vlsw1,Vlsw2.set,Vlsw2,set_node,28,16 | 300# | RF | STD | 6,Vlsw | vlsw,,,,,
Vlsw,Vlsw.set,Vlsw1,Vlsw3.set,Vlsw3,set_node,28,16 | 300# | RF | STD | 6,Vlsw | vlsw,,,,,
Vlsw,Vlsw.set,Vlsw1,Vlsw4.set,Vlsw4,set_node,28,16 | 300# | RF | STD | 6,Vlsw | vlsw,,,,,
Vlsw,Vlsw.set,Vlsw1,Vlsw5.set,Vlsw5,set_node,28,16 | 300# | RF | STD | 6,Vlsw | vlsw,,,,,
Wbol,Wbol.set,Wbol1,Wbol1.set,Wbol1,set_node,28,16 | 300# | RF | STD | 6,Elboflange | EOL | Latroflange | LOL | Nipoflange | SOL | TOL | Wbol | wbol | Weldoflange | WOL | WOLSTD | WOLXS | WOLXXS,,,,,
Wbol,Wbol.set,Wbol1,Wbol2.set,Wbol2,set_node,28,16 | 300# | RF | STD | 6,Elboflange | EOL | Latroflange | LOL | Nipoflange | SOL | TOL | Wbol | wbol | Weldoflange | WOL | WOLSTD | WOLXS | WOLXXS,,,,,
Wbol,Wbol.set,Wbol1,Wbol3.set,Wbol3,set_node,28,16 | 300# | RF | STD | 6,Elboflange | EOL | Latroflange | LOL | Nipoflange | SOL | TOL | Wbol | wbol | Weldoflange | WOL | WOLSTD | WOLXS | WOLXXS,,,,,
Wbol,Wbol.set,Wbol1,Wbol4.set,Wbol4,set_node,28,16 | 300# | RF | STD | 6,Elboflange | EOL | Latroflange | LOL | Nipoflange | SOL | TOL | Wbol | wbol | Weldoflange | WOL | WOLSTD | WOLXS | WOLXXS,,,,,
Wbol,Wbol.set,Wbol1,Wbol5.set,Wbol5,set_node,28,16 | 300# | RF | STD | 6,Elboflange | EOL | Latroflange | LOL | Nipoflange | SOL | TOL | Wbol | wbol | Weldoflange | WOL | WOLSTD | WOLXS | WOLXXS,,,,,
Wbol,Wbol.set,Wbol1,Wbol6.set,Wbol6,set_node,28,16 | 300# | RF | STD | 6,Elboflange | EOL | Latroflange | LOL | Nipoflange | SOL | TOL | Wbol | wbol | Weldoflange | WOL | WOLSTD | WOLXS | WOLXXS,,,,,
Wbol,Wbol.set,Wbol1,Wbol7.set,Wbol7,set_node,28,16 | 300# | RF | STD | 6,Elboflange | EOL | Latroflange | LOL | Nipoflange | SOL | TOL | Wbol | wbol | Weldoflange | WOL | WOLSTD | WOLXS | WOLXXS,,,,,
Wbol,Wbol.set,Wbol1,Wbol8.set,Wbol8,set_node,28,16 | 300# | RF | STD | 6,Elboflange | EOL | Latroflange | LOL | Nipoflange | SOL | TOL | Wbol | wbol | Weldoflange | WOL | WOLSTD | WOLXS | WOLXXS,,,,,
Wbol,Wbol.set,Wbol1,Wbol9.set,Wbol9,set_node,28,16 | 300# | RF | STD | 6,Elboflange | EOL | Latroflange | LOL | Nipoflange | SOL | TOL | Wbol | wbol | Weldoflange | WOL | WOLSTD | WOLXS | WOLXXS,,,,,
Wbol,Wbol.set,Wbol1,Wbol10.set,Wbol10,set_node,28,16 | 300# | RF | STD | 6,Elboflange | EOL | Latroflange | LOL | Nipoflange | SOL | TOL | Wbol | wbol | Weldoflange | WOL | WOLSTD | WOLXS | WOLXXS,,,,,
Wbol,Wbol.set,Wbol1,Wbol11.set,Wbol11,set_node,28,16 | 300# | RF | STD | 6,Elboflange | EOL | Latroflange | LOL | Nipoflange | SOL | TOL | Wbol | wbol | Weldoflange | WOL | WOLSTD | WOLXS | WOLXXS,,,,,
Wbol,Wbol.set,Wbol1,Wbol12.set,Wbol12,set_node,28,16 | 300# | RF | STD | 6,Elboflange | EOL | Latroflange | LOL | Nipoflange | SOL | TOL | Wbol | wbol | Weldoflange | WOL | WOLSTD | WOLXS | WOLXXS,,,,,
Wbol,Wbol.set,Wbol1,Wbol13.set,Wbol13,set_node,28,16 | 300# | RF | STD | 6,Elboflange | EOL | Latroflange | LOL | Nipoflange | SOL | TOL | Wbol | wbol | Weldoflange | WOL | WOLSTD | WOLXS | WOLXXS,,,,,
Wbpi,Wbpi.set,Wbpi1,Wbpi1.set,Wbpi1,set_node,28,16 | 300# | RF | STD | 6,bwlPipt | pipt | SocketweldedElbowPipet | SocketweldedLateralPipet | SocketWeldedPipet | SocklPipt | thdlPipt | ThreadedElbowPipet | ThreadedLateralPipet | ThreadedPipet | Wbpi | wbpi,,,,,
Wbpi,Wbpi.set,Wbpi1,Wbpi2.set,Wbpi2,set_node,28,16 | 300# | RF | STD | 6,bwlPipt | pipt | SocketweldedElbowPipet | SocketweldedLateralPipet | SocketWeldedPipet | SocklPipt | thdlPipt | ThreadedElbowPipet | ThreadedLateralPipet | ThreadedPipet | Wbpi | wbpi,,,,,
Wbpi,Wbpi.set,Wbpi1,Wbpi3.set,Wbpi3,set_node,28,16 | 300# | RF | STD | 6,bwlPipt | pipt | SocketweldedElbowPipet | SocketweldedLateralPipet | SocketWeldedPipet | SocklPipt | thdlPipt | ThreadedElbowPipet | ThreadedLateralPipet | ThreadedPipet | Wbpi | wbpi,,,,,
Wbpi,Wbpi.set,Wbpi1,Wbpi4.set,Wbpi4,set_node,28,16 | 300# | RF | STD | 6,bwlPipt | pipt | SocketweldedElbowPipet | SocketweldedLateralPipet | SocketWeldedPipet | SocklPipt | thdlPipt | ThreadedElbowPipet | ThreadedLateralPipet | ThreadedPipet | Wbpi | wbpi,,,,,
Wbpi,Wbpi.set,Wbpi1,Wbpi5.set,Wbpi5,set_node,28,16 | 300# | RF | STD | 6,bwlPipt | pipt | SocketweldedElbowPipet | SocketweldedLateralPipet | SocketWeldedPipet | SocklPipt | thdlPipt | ThreadedElbowPipet | ThreadedLateralPipet | ThreadedPipet | Wbpi | wbpi,,,,,
Wbpi,Wbpi.set,Wbpi1,Wbpi6.set,Wbpi6,set_node,28,16 | 300# | RF | STD | 6,bwlPipt | pipt | SocketweldedElbowPipet | SocketweldedLateralPipet | SocketWeldedPipet | SocklPipt | thdlPipt | ThreadedElbowPipet | ThreadedLateralPipet | ThreadedPipet | Wbpi | wbpi,,,,,
Wbpi,Wbpi.set,Wbpi1,Wbpi7.set,Wbpi7,set_node,28,16 | 300# | RF | STD | 6,bwlPipt | pipt | SocketweldedElbowPipet | SocketweldedLateralPipet | SocketWeldedPipet | SocklPipt | thdlPipt | ThreadedElbowPipet | ThreadedLateralPipet | ThreadedPipet | Wbpi | wbpi,,,,,
Wbpi,Wbpi.set,Wbpi1,Wbpi8.set,Wbpi8,set_node,28,16 | 300# | RF | STD | 6,bwlPipt | pipt | SocketweldedElbowPipet | SocketweldedLateralPipet | SocketWeldedPipet | SocklPipt | thdlPipt | ThreadedElbowPipet | ThreadedLateralPipet | ThreadedPipet | Wbpi | wbpi,,,,,
Wbpi,Wbpi.set,Wbpi1,Wbpi9.set,Wbpi9,set_node,28,16 | 300# | RF | STD | 6,bwlPipt | pipt | SocketweldedElbowPipet | SocketweldedLateralPipet | SocketWeldedPipet | SocklPipt | thdlPipt | ThreadedElbowPipet | ThreadedLateralPipet | ThreadedPipet | Wbpi | wbpi,,,,,
Wbpi,Wbpi.set,Wbpi1,Wbpi10.set,Wbpi10,set_node,28,16 | 300# | RF | STD | 6,bwlPipt | pipt | SocketweldedElbowPipet | SocketweldedLateralPipet | SocketWeldedPipet | SocklPipt | thdlPipt | ThreadedElbowPipet | ThreadedLateralPipet | ThreadedPipet | Wbpi | wbpi,,,,,
Wbpi,Wbpi.set,Wbpi1,Wbpi11.set,Wbpi11,set_node,28,16 | 300# | RF | STD | 6,bwlPipt | pipt | SocketweldedElbowPipet | SocketweldedLateralPipet | SocketWeldedPipet | SocklPipt | thdlPipt | ThreadedElbowPipet | ThreadedLateralPipet | ThreadedPipet | Wbpi | wbpi,,,,,
Wbpi,Wbpi.set,Wbpi1,Wbpi12.set,Wbpi12,set_node,28,16 | 300# | RF | STD | 6,bwlPipt | pipt | SocketweldedElbowPipet | SocketweldedLateralPipet | SocketWeldedPipet | SocklPipt | thdlPipt | ThreadedElbowPipet | ThreadedLateralPipet | ThreadedPipet | Wbpi | wbpi,,,,,
